uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1109/tcyb.2019.2947532,"Physical Human–Robot Collaboration: Robotic Systems, Learning Methods, Collaborative Strategies, Sensors, and Actuators","This article presents a state-of-the-art survey on the robotic systems, sensors, actuators, and collaborative strategies for physical human-robot collaboration (pHRC). This article starts with an overview of some robotic systems with cutting-edge technologies (sensors and actuators) suitable for pHRC operations and the intelligent assist devices employed in pHRC. Sensors being among the essential components to establish communication between a human and a robotic system are surveyed. The sensor supplies the signal needed to drive the robotic actuators. The survey reveals that the design of new generation collaborative robots and other intelligent robotic systems has paved the way for sophisticated learning techniques and control algorithms to be deployed in pHRC. Furthermore, it revealed the relevant components needed to be considered for effective pHRC to be accomplished. Finally, a dis",2019,IEEE Transactions on Cybernetics,Uchenna Emeoha Ogenyi; Jinguo Liu; Chenguang Yang; Zhaojie Ju; Honghai Liu,10.1109/tcyb.2019.2947532,,https://doi.org/10.1109/tcyb.2019.2947532,openalex,robotics,concept,openalex_bulk_robotics,,126,,2026-06-12T18:57:17Z,28.622,28.622
doi:10.1109/tmech.2022.3155601,Cooperative Transportation With Mobile Manipulator: A Capability Map-Based Framework for Physical Human–Robot Collaboration,"In the cooperative transportation task with a mobile manipulator (MM), the mobile robot and the manipulator must move simultaneously to adapt to the human motion. In addition, the motion of the MM is underconstrained due to redundancy, which makes MM real-time motion planning challenging. In this article, a capability map-based framework was proposed to enable real-time motion planning of the MM. In the motion planner, the dexterity of the MM, the formation of the human–robot system, and obstacle avoidance of the mobile robot are considered to get safe and human-like robot motion. Moreover, to make optimization faster and avoid local minimum, capability map, which represents the manipulability distribution of the MM in its workspace, is queried to determine the seed of the optimization algorithm. The proposed motion planner is self-contained and can be extended to the transportation task",2022,IEEE/ASME Transactions on Mechatronics,Heng Zhang; Sheng Qi; Jiawei Hu; Xinjun Sheng; Zhenhua Xiong; Xiangyang Zhu,10.1109/tmech.2022.3155601,,https://doi.org/10.1109/tmech.2022.3155601,openalex,robotics,concept,openalex_bulk_robotics,,41,motion planning,2026-06-12T18:57:17Z,25.619,26.619
doi:10.1177/02783649211053650,Enabling impedance-based physical human–multi–robot collaboration: Experiments with four torque-controlled manipulators,"Robotics research into multi-robot systems so far has concentrated on implementing intelligent swarm behavior and contact-less human interaction. Studies of haptic or physical human-robot interaction, by contrast, have primarily focused on the assistance offered by a single robot. Consequently, our understanding of the physical interaction and the implicit communication through contact forces between a human and a team of multiple collaborative robots is limited. We here introduce the term Physical Human Multi-Robot Collaboration (PHMRC) to describe this more complex situation, which we consider highly relevant in future service robotics. The scenario discussed in this article covers multiple manipulators in close proximity and coupled through physical contacts. We represent this set of robots as fingers of an up-scaled agile robot hand. This perspective enables us to employ model-based ",2022,The International Journal of Robotics Research,Niels Dehio; Joshua Smith; Dennis L. Wigand; Pouya Mohammadi; Michael Mistry; Jochen J. Steil,10.1177/02783649211053650,,https://doi.org/10.1177/02783649211053650,crossref,EBM transformer robotics multi robot system,concept,architecture_x_embodiment,,31,EBM transformer robotics; robot hand; multi robot system; human robot interaction,2026-06-12T15:07:36Z,25.483,25.483
doi:10.1007/s10514-021-10030-9,User intent estimation during robot learning using physical human robot interaction primitives,"Abstract As robotic systems transition from traditional setups to collaborative work spaces, the prevalence of physical Human Robot Interaction has risen in both industrial and domestic environments. A popular representation for robot behavior is movement primitives which learn, imitate, and generalize from expert demonstrations. While there are existing works in context-aware movement primitives, they are usually limited to contact-free human robot interactions. This paper presents physical Human Robot Interaction Primitives (pHRIP), which utilize only the interaction forces between the human user and robot to estimate user intent and generate the appropriate robot response during physical human robot interactions. The efficacy of pHRIP is evaluated through multiple experiments based on target-directed reaching and obstacle avoidance tasks using a real seven degree of freedom robot arm.",2022,Autonomous Robots,Yujun Lai; Gavin Paul; Yunduan Cui; Takamitsu Matsubara,10.1007/s10514-021-10030-9,,https://doi.org/10.1007/s10514-021-10030-9,crossref,energy based model robot learning,concept,ebm,,13,human robot interaction,2026-06-12T15:07:36Z,25.070,25.070
doi:10.48550/arxiv.2210.05894,Human-Aware Physical Human-Robot Collaborative Transportation and Manipulation with Multiple Aerial Robots,"Human-robot interaction will play an essential role in various industries and daily tasks, enabling robots to effectively collaborate with humans and reduce their physical workload. Most of the existing approaches for physical human-robot interaction focus on collaboration between a human and a single ground or aerial robot. In recent years, very little progress has been made in this research area when considering multiple aerial robots, which offer increased versatility and mobility. This paper proposes a novel approach for physical human-robot collaborative transportation and manipulation of a cable-suspended payload with multiple aerial robots. The proposed method enables smooth and intuitive interaction between the transported objects and a human worker. In the same time, we consider distance constraints during the operations by exploiting the internal redundancy of the multi-robot t",2022,arXiv (Cornell University),Guanrui Li; Xinyang Liu; Giuseppe Loianno,10.48550/arxiv.2210.05894,,https://doi.org/10.48550/arxiv.2210.05894,openalex,robotics,concept,openalex_bulk_robotics,,9,human robot interaction,2026-06-12T18:57:17Z,24.951,24.951
doi:10.1109/icra55743.2025.11127335,DTRT: Enhancing Human Intent Estimation and Role Allocation for Physical Human-Robot Collaboration,,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),Haotian Liu; Yuchuang Tong; Zhengtao Zhang,10.1109/icra55743.2025.11127335,,https://doi.org/10.1109/icra55743.2025.11127335,crossref,robotics,concept,crossref_bulk_robotics,,6,,2026-06-12T19:29:26Z,24.573,24.573
doi:10.1504/ijmr.2025.149872,Multimodal human-robot collaboration: advancements and future directions,"Human-robot collaboration (HRC) envisioned for future factories has been actively explored to facilitate higher overall productivity. The wide applications of HRC in multiple fields, such as manufacturing and production, have seen a series of milestones. In recent years, a shift towards intuitive and natural collaboration between humans and robots has been investigated and discussed for symbiotic scenarios and complex tasks. For this purpose, advancements of multimodality in HRC enable multimodal human-robot interactions and collaboration by utilising different communication channels such as auditory, vision, gestures, haptics, and even brain signals. In addition, understanding human behaviours in terms of intent and motion can be beneficial in achieving mutual human-robot assistance. Within an HRC setting, the digital twin of such a physical collaborative workcell offers a promising too",2025,International Journal of Manufacturing Research,Sichao Liu; Zhihao Liu; Qiang Qin; Xi Vincent Wang; Lihui Wang,10.1504/ijmr.2025.149872,,https://doi.org/10.1504/ijmr.2025.149872,openalex,energy based transformer robot policy,concept,ebm_transformer,,2,energy based transformer robot policy; human robot interaction,2026-06-12T18:05:07Z,24.299,24.299
doi:10.1109/iros.2018.8593359,Effects of Integrated Intent Recognition and Communication on Human-Robot Collaboration,"Human-robot interaction research to date has investigated intent recognition and communication separately. In this paper, we explore the effects of integrating both the robot's ability to generate intentional motion and predict the human's motion in a collaborative physical task. We implemented an intent recognition system to recognize the human partner's hand motion intent and a motion planner system to enable the robot to communicate its intent by using legible and predictable motion. We tested this bi-directional intent system in a 2-way within-subjects user study. Results suggest that an integrated intent recognition and communication system may facilitate more collaborative behavior among team members.",2018,,Mai Lee Chang; Reymundo A. Gutierrez; Priyanka Khante; Elaine Schaertl Short; Andrea L. Thomaz,10.1109/iros.2018.8593359,,https://doi.org/10.1109/iros.2018.8593359,openalex,robotics,concept,openalex_bulk_robotics,,25,human robot interaction,2026-06-12T18:57:17Z,24.279,24.279
doi:10.1109/lra.2025.3632607,Fitts' List Revisited: An Empirical Study on Function Allocation in a Two-Agent Physical Human-Robot Collaborative Position/Force Task,"In this letter, we investigate whether classical function allocation-the principle of assigning tasks to either a human or a machine-holds for physical Human-Robot Collaboration, which is important for providing insights for Industry 5.0 to guide how to best augment rather than replace workers. This study empirically tests the applicability of Fitts' List within physical Human-Robot Collaboration, by conducting a user study (N=26, within-subject design) to evaluate four distinct allocations of position/force control between human and robot in an abstract blending task. We hypothesize that the function in which humans control the position achieves better performance and receives higher user ratings. When allocating position control to the human and force control to the robot, compared to the opposite case, we observed a significant improvement in preventing overblending. This was also per",2025,arXiv,Nicky Mol; J. Micah Prendergast; David A. Abbink; Luka Peternel,10.1109/lra.2025.3632607,2505.04722v2,http://arxiv.org/abs/2505.04722v2,arxiv,energy based policy robotics,concept,ebm,,,force control,2026-06-12T14:45:03Z,24.200,25.200
doi:10.1109/tro.2024.3502508,Human-Aware Physical Human-Robot Collaborative Transportation and Manipulation with Multiple Aerial Robots,"Human-robot interaction will play an essential role in various industries and daily tasks, enabling robots to effectively collaborate with humans and reduce their physical workload. Most of the existing approaches for physical human-robot interaction focus on collaboration between a human and a single ground or aerial robot. In recent years, very little progress has been made in this research area when considering multiple aerial robots, which offer increased versatility and mobility. This paper proposes a novel approach for physical human-robot collaborative transportation and manipulation of a cable-suspended payload with multiple aerial robots. The proposed method enables smooth and intuitive interaction between the transported objects and a human worker. In the same time, we consider distance constraints during the operations by exploiting the internal redundancy of the multi-robot t",2022,arXiv,Guanrui Li; Xinyang Liu; Giuseppe Loianno,10.1109/tro.2024.3502508,2210.05894v3,http://arxiv.org/abs/2210.05894v3,arxiv,energy based policy robotics,concept,ebm,,,human robot interaction,2026-06-12T14:45:03Z,23.950,23.950
