split,task,regime,seed,stress,intent_load,capability_load,safety_load,role_load,burden_load,false_query_load
nominal,handover_grip_choice,ambiguous_intent,0,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,1,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,2,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,3,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,4,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,5,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,6,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,7,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,8,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,ambiguous_intent,9,0.10000,0.55912,0.13337,0.08811,0.16221,0.05934,0.14910
nominal,handover_grip_choice,asymmetric_reach,0,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,1,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,2,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,3,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,4,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,5,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,6,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,7,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,8,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,asymmetric_reach,9,0.10000,0.27956,0.42063,0.16993,0.24759,0.04784,0.09940
nominal,handover_grip_choice,load_sharing_mismatch,0,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,1,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,2,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,3,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,4,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,5,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,6,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,7,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,8,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,load_sharing_mismatch,9,0.10000,0.33039,0.44115,0.23287,0.30735,0.05244,0.11928
nominal,handover_grip_choice,occluded_human_goal,0,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,1,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,2,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,3,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,4,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,5,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,6,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,7,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,8,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,occluded_human_goal,9,0.10000,0.50829,0.22570,0.12588,0.19210,0.08809,0.27335
nominal,handover_grip_choice,ergonomic_constraint,0,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,1,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,2,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,3,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,4,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,5,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,6,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,7,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,8,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,ergonomic_constraint,9,0.10000,0.31768,0.36933,0.21399,0.26467,0.05704,0.13916
nominal,handover_grip_choice,role_switch_request,0,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,1,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,2,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,3,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,4,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,5,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,6,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,7,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,8,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,role_switch_request,9,0.10000,0.48287,0.29752,0.14476,0.37565,0.06624,0.17892
nominal,handover_grip_choice,conflicting_safety_preference,0,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,1,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,2,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,3,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,4,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,5,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,6,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,7,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,8,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,conflicting_safety_preference,9,0.10000,0.44475,0.37959,0.26434,0.32443,0.07659,0.22365
nominal,handover_grip_choice,temporal_commitment_drift,0,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,1,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,2,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,3,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,4,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,5,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,6,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,7,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,8,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,handover_grip_choice,temporal_commitment_drift,9,0.10000,0.52100,0.33855,0.18881,0.35004,0.09614,0.30814
nominal,co_carry_doorway,ambiguous_intent,0,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,1,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,2,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,3,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,4,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,5,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,6,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,7,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,8,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,ambiguous_intent,9,0.10000,0.50829,0.17910,0.16020,0.24052,0.08514,0.14910
nominal,co_carry_doorway,asymmetric_reach,0,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,1,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,2,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,3,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,4,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,5,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,6,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
nominal,co_carry_doorway,asymmetric_reach,7,0.10000,0.25414,0.56484,0.30897,0.36712,0.06864,0.09940
