risk_budget,baseline,mean_utility_diff,ci95_utility_diff,wins_over_seeds,seeds
0.08000,active_clarification_bandit,0.23330,0.01468,10,10
0.12000,active_clarification_bandit,0.33828,0.01486,10,10
0.16000,active_clarification_bandit,0.33817,0.01737,10,10
0.20000,active_clarification_bandit,0.38561,0.01871,10,10
0.08000,capability_map_tamp,0.21301,0.01811,10,10
0.12000,capability_map_tamp,0.30450,0.01502,10,10
0.16000,capability_map_tamp,0.27385,0.01004,10,10
0.20000,capability_map_tamp,0.25517,0.01651,10,10
0.08000,conformal_intent_risk_filter,0.22881,0.01919,10,10
0.12000,conformal_intent_risk_filter,0.28454,0.01378,10,10
0.16000,conformal_intent_risk_filter,0.27344,0.01639,10,10
0.20000,conformal_intent_risk_filter,0.25462,0.02209,10,10
0.08000,human_model_mpc,0.23171,0.01618,10,10
0.12000,human_model_mpc,0.32452,0.01435,10,10
0.16000,human_model_mpc,0.31736,0.01665,10,10
0.20000,human_model_mpc,0.31315,0.01274,10,10
0.08000,inverse_rl_intent_pomdp,0.21938,0.01618,10,10
0.12000,inverse_rl_intent_pomdp,0.31613,0.01580,10,10
0.16000,inverse_rl_intent_pomdp,0.31725,0.01568,10,10
0.20000,inverse_rl_intent_pomdp,0.32048,0.01299,10,10
0.08000,language_affordance_planner,0.19682,0.01759,10,10
0.12000,language_affordance_planner,0.29413,0.01529,10,10
0.16000,language_affordance_planner,0.29750,0.01622,10,10
0.20000,language_affordance_planner,0.30858,0.01096,10,10
0.08000,oracle_joint_intent_capability_planner,-0.20806,0.01757,0,10
0.12000,oracle_joint_intent_capability_planner,-0.12529,0.01378,0,10
0.16000,oracle_joint_intent_capability_planner,-0.13147,0.01605,0,10
0.20000,oracle_joint_intent_capability_planner,-0.10268,0.02363,0,10
0.08000,proposed_affordance_negotiation_v4,0.24317,0.01398,10,10
0.12000,proposed_affordance_negotiation_v4,0.31987,0.01411,10,10
0.16000,proposed_affordance_negotiation_v4,0.25425,0.02544,10,10
0.20000,proposed_affordance_negotiation_v4,0.21751,0.01281,10,10
0.08000,risk_aware_shared_autonomy,0.23766,0.01787,10,10
0.12000,risk_aware_shared_autonomy,0.29087,0.02011,10,10
0.16000,risk_aware_shared_autonomy,0.22985,0.01919,10,10
0.20000,risk_aware_shared_autonomy,0.20041,0.03502,10,10
0.08000,shared_autonomy_pomdp,0.21510,0.01668,10,10
0.12000,shared_autonomy_pomdp,0.31154,0.01621,10,10
0.16000,shared_autonomy_pomdp,0.30004,0.02344,10,10
0.20000,shared_autonomy_pomdp,0.28871,0.01890,10,10
0.08000,uncertainty_clarification_policy,0.20224,0.01793,10,10
0.12000,uncertainty_clarification_policy,0.30087,0.01521,10,10
0.16000,uncertainty_clarification_policy,0.30583,0.01484,10,10
0.20000,uncertainty_clarification_policy,0.35547,0.01214,10,10
