method,split,stress_level,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
active_clarification_bandit,stress_00,0.00000,10,0.67917,0.01813,0.06146,0.00642,0.29618,0.02044,0.17083,0.00967,0.13889,0.01470,0.00729,0.00399,0.06042,0.00548,0.83919,0.00039,0.13067,0.00516,0.18426,0.00063,0.29503,0.02026
active_clarification_bandit,stress_01,0.11111,10,0.66458,0.01519,0.07708,0.01058,0.32014,0.01379,0.18681,0.00778,0.14896,0.01454,0.01250,0.00433,0.05521,0.00604,0.89278,0.00046,0.15656,0.00861,0.19038,0.00059,0.23850,0.02199
active_clarification_bandit,stress_02,0.22222,10,0.64826,0.02064,0.08993,0.00852,0.35208,0.01350,0.20486,0.01591,0.16319,0.01565,0.02153,0.00525,0.05590,0.00612,0.94610,0.00068,0.17947,0.00672,0.19642,0.00061,0.17494,0.02683
active_clarification_bandit,stress_03,0.33333,10,0.63472,0.01993,0.10938,0.01117,0.39549,0.01533,0.21667,0.01821,0.17917,0.01608,0.02917,0.00844,0.05729,0.00868,0.99907,0.00071,0.20624,0.00823,0.20230,0.00061,0.10342,0.02375
active_clarification_bandit,stress_04,0.44444,10,0.61736,0.01889,0.12118,0.01095,0.42604,0.01832,0.23542,0.01623,0.18542,0.02141,0.04410,0.00896,0.05937,0.00802,1.05263,0.00072,0.22619,0.00781,0.20745,0.00085,0.04203,0.02425
active_clarification_bandit,stress_05,0.55556,10,0.60243,0.01396,0.13437,0.01025,0.46146,0.02035,0.25069,0.02101,0.20729,0.01508,0.05833,0.00785,0.06076,0.00794,1.10625,0.00086,0.24654,0.00699,0.21275,0.00075,-0.02582,0.01880
active_clarification_bandit,stress_06,0.66667,10,0.60035,0.00991,0.15035,0.00913,0.48681,0.01800,0.26389,0.02302,0.22500,0.01416,0.06493,0.00806,0.06076,0.01256,1.15937,0.00098,0.26869,0.00586,0.21801,0.00052,-0.07433,0.01341
active_clarification_bandit,stress_07,0.77778,10,0.58403,0.01290,0.15972,0.01515,0.52465,0.01788,0.27535,0.02024,0.24965,0.01637,0.07500,0.00726,0.06667,0.00860,1.21320,0.00081,0.28550,0.00900,0.22268,0.00036,-0.14012,0.02109
active_clarification_bandit,stress_08,0.88889,10,0.57535,0.01121,0.16771,0.01035,0.55208,0.01283,0.28368,0.01575,0.27292,0.01304,0.09132,0.00732,0.06354,0.00793,1.26682,0.00046,0.30077,0.00590,0.22753,0.00044,-0.19010,0.01879
active_clarification_bandit,stress_09,1.00000,10,0.56007,0.01743,0.17292,0.01238,0.57986,0.00999,0.29306,0.01296,0.29236,0.01246,0.10937,0.01080,0.06944,0.00867,1.31986,0.00050,0.31360,0.00694,0.23269,0.00030,-0.24474,0.02402
capability_map_tamp,stress_00,0.00000,10,0.65000,0.01956,0.02951,0.00594,0.09062,0.00981,0.32847,0.02022,0.07569,0.00723,0.05903,0.00879,0.00208,0.00181,0.29769,0.00070,0.07608,0.00520,0.21257,0.00063,0.39401,0.01666
capability_map_tamp,stress_01,0.11111,10,0.63194,0.02130,0.04931,0.01008,0.10521,0.01222,0.33611,0.01834,0.09062,0.00491,0.06667,0.00778,0.00208,0.00181,0.32576,0.00095,0.10657,0.00859,0.21917,0.00069,0.33407,0.01780
capability_map_tamp,stress_02,0.22222,10,0.62431,0.02273,0.06250,0.01238,0.11389,0.01524,0.33958,0.01298,0.11250,0.00548,0.08160,0.01006,0.00104,0.00104,0.35401,0.00061,0.13133,0.01028,0.22561,0.00056,0.29124,0.01594
capability_map_tamp,stress_03,0.33333,10,0.60417,0.01535,0.07014,0.01314,0.12222,0.01571,0.36007,0.01525,0.12951,0.00732,0.09479,0.00831,0.00139,0.00111,0.38251,0.00056,0.15105,0.01036,0.23148,0.00065,0.23852,0.02295
capability_map_tamp,stress_04,0.44444,10,0.59722,0.01477,0.08993,0.00938,0.12569,0.00934,0.37257,0.01549,0.14097,0.01410,0.10104,0.01159,0.00139,0.00111,0.41106,0.00073,0.17930,0.00698,0.23687,0.00079,0.19509,0.01459
capability_map_tamp,stress_05,0.55556,10,0.56875,0.01881,0.09479,0.00806,0.13576,0.01113,0.38611,0.01390,0.15937,0.01047,0.11528,0.00848,0.00174,0.00152,0.43950,0.00084,0.19547,0.00549,0.24200,0.00082,0.13792,0.01723
capability_map_tamp,stress_06,0.66667,10,0.55729,0.01662,0.10347,0.01142,0.14792,0.00947,0.41076,0.01704,0.16632,0.01141,0.12812,0.00960,0.00174,0.00152,0.46807,0.00060,0.21422,0.00790,0.24708,0.00071,0.09412,0.02235
capability_map_tamp,stress_07,0.77778,10,0.54618,0.01645,0.12535,0.01325,0.16007,0.00676,0.41285,0.01363,0.18819,0.01182,0.13194,0.01488,0.00208,0.00181,0.49654,0.00044,0.24080,0.00883,0.25176,0.00053,0.04020,0.02642
capability_map_tamp,stress_08,0.88889,10,0.53125,0.01384,0.13889,0.00884,0.17326,0.01113,0.41944,0.00983,0.19931,0.01171,0.15139,0.01377,0.00278,0.00170,0.52481,0.00075,0.26062,0.00563,0.25659,0.00039,-0.01010,0.02146
capability_map_tamp,stress_09,1.00000,10,0.51458,0.01842,0.14201,0.00910,0.18472,0.01013,0.43403,0.01134,0.21563,0.01945,0.15868,0.01572,0.00278,0.00170,0.55267,0.00071,0.27334,0.00575,0.26166,0.00050,-0.05157,0.02967
conformal_intent_risk_filter,stress_00,0.00000,10,0.68229,0.02075,0.03194,0.00615,0.16285,0.01367,0.23854,0.01806,0.06875,0.01087,0.02049,0.00604,0.00313,0.00237,0.46433,0.00084,0.04678,0.00593,0.18744,0.00064,0.42861,0.02366
conformal_intent_risk_filter,stress_01,0.11111,10,0.66285,0.02075,0.03958,0.00539,0.18021,0.01344,0.24479,0.01888,0.09201,0.01171,0.02778,0.00650,0.00208,0.00150,0.50363,0.00099,0.06632,0.00507,0.19355,0.00054,0.37607,0.02311
conformal_intent_risk_filter,stress_02,0.22222,10,0.64028,0.02027,0.05278,0.00778,0.19931,0.01502,0.25868,0.01248,0.10764,0.00984,0.03889,0.00701,0.00243,0.00104,0.54319,0.00098,0.09177,0.00705,0.19961,0.00062,0.31271,0.02323
conformal_intent_risk_filter,stress_03,0.33333,10,0.62813,0.02055,0.06215,0.00691,0.22083,0.01936,0.28299,0.01598,0.12361,0.00903,0.04931,0.00590,0.00278,0.00170,0.58311,0.00092,0.11337,0.00614,0.20555,0.00084,0.25926,0.02166
